topic,destination,source_ids,adaptation
"Generation contract and contextual routing","skills/ui-forge/SKILL.md; references/catalog.patterns.json#generation-contract","taste;ui-forge-synthesis","Adapted brief, audience, asset, and constraint inference into a compact creative contract; avoided universal style values and long questionnaires."
"Macrostructure-first workflow","skills/ui-forge/SKILL.md; references/02-composition.md","hallmark;ui-forge-synthesis","Condensed macrostructure and structural-fingerprint concepts; removed recipe-specific and novelty-first absolutes."
"Direction branching and visual generation","skills/ui-forge/SKILL.md; references/10-visual-direction.md; references/catalog.patterns.json#direction-branching; references/catalog.patterns.json#visual-move-budget; references/catalog.patterns.json#hero-math","taste;hallmark;ui-forge-synthesis","Adapted generation-first direction exploration, whole-page macrostructure, visual-carrier hierarchy, type roles, color deployment, display crescendo, section choreography, and anti-house-style rotation without copying fixed themes or genre mappings."
"First-viewport height budgeting","skills/ui-forge/SKILL.md; references/02-composition.md; references/03-foundations.md; references/04-responsive-accessibility.md; references/07-quality-and-validation.md; references/catalog.quality-gates.json#first-viewport-fit","taste;hallmark;wcag-2.2;ui-forge-synthesis","Added a height-aware landing-page guard that budgets fixed chrome, required entry content, actions, and next-section reveal at short desktop and mobile profiles without imposing a universal font-size cap."
"Image-first visual workflow","references/10-visual-direction.md; references/catalog.patterns.json#image-first-asset-loop","taste;ui-forge-synthesis","Reframed image-generation guidance as an optional asset loop for concrete subjects, with explicit limits against synthetic evidence."
"Craft refinement and optional evaluation","skills/ui-forge/SKILL.md; references/07-quality-and-validation.md; references/catalog.patterns.json#craft-refinement-loop","hallmark;taste;ui-forge-synthesis","Kept one focused visual refinement pass in normal generation and moved scoring, severity, and evidence-heavy review into explicit audit, evaluation, and production-hardening workflows."
"Product and stack taxonomy","references/08-product-stack-routing.md; catalog.product-guides.json; catalog.stack-guides.json","ui-ux-pro-max;ui-forge-synthesis","Re-authored a smaller structured taxonomy with applicability, warnings, exceptions, and no executable lookup system."
"Anti-slop generation guards","skills/ui-forge/SKILL.md; references/catalog.anti-patterns.json","taste;hallmark;ui-forge-synthesis","Added generation-time guards for category shortcuts, per-section posterization, and repeated house-style bundles while retaining hard failures only for correctness, accessibility, honesty, and behavior."
"Spacing and layout clearance","skills/ui-forge/SKILL.md; references/02-composition.md; references/03-foundations.md; references/04-responsive-accessibility.md; references/catalog.patterns.json#spacing-contract; references/catalog.anti-patterns.json#collapsed-spacing","taste;ui-forge-synthesis","Added explicit page-gutter, section-gap, panel-inset, stack-gap, and control-gap roles; included split-height balance and sticky-chrome clearance without imposing one universal spacing scale."
"Commerce media and concept truth","skills/ui-forge/SKILL.md; references/06-assets-copy-data.md; references/10-visual-direction.md; references/catalog.quality-gates.json#authentic-primary-media; references/catalog.quality-gates.json#honest-content","taste;hallmark;ui-forge-synthesis","Required inspectable subject media for commerce and object pages, rejected abstract placeholders as primary product evidence, and clarified one-time labeling for fictional inventory, policies, and promises."
"Quality gates","references/07-quality-and-validation.md; catalog.quality-gates.json","taste;hallmark;ui-ux-pro-max;wcag-2.2","Normalized overlapping checklists into a smaller evidence-based gate set and aligned accessibility requirements to WCAG 2.2."
"Responsive guidance","references/02-composition.md; references/04-responsive-accessibility.md","taste;hallmark;ui-ux-pro-max;wcag-2.2","Combined mobile recomposition guidance with standards-based reflow, zoom, focus, and target requirements."
"Safety boundary","references/09-safety-provenance.md; tooling","owasp;ui-forge-synthesis","Added explicit untrusted-content, path, protocol, Markdown, and execution controls not treated consistently by the source skills."
